Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,Turkish,Hindi,Arabic,Bengali
LEVEL_FORMAT,Level {0},第{0}關,ระดับ {0},Màn {0},Level {0},Nível {0},Nivel {0},Уровень {0},Niveau {0},Seviye {0},लेवल {0},المستوى {0},লেভেল {0}
CHOOSE_ABILITY,Select Ability,選擇角色能力,เลือกความสามารถ,Chọn thẻ sức mạnh,Pilih Kemampuan Karakter,Escolher habilidade,Seleccionar habilidad,Выбор навыка,Sélectionner une compétence,Karakter Yeteneğini Seç,एबिलिटी चुनें,اختر قدرة الشخصية,অ্যাবিলিটি নির্বাচন করুন
CURRENT_ABILITY,Current,當前能力,ปัจจุบัน,Thẻ đang có,Kemampuan Saat Ini,Atual,Actual,Текущий навык,Actuel,Mevcut Yetenek,करंट,القدرة الحالية,বর্তমান
ACTIVE_SKILL,Active,角色主動,กดใช้,Kỹ năng thợ săn chủ động,Skill Aktif,Ativa,Activa,Активный навык,Actif,Aktif,एक्टिव,دور نشط,অ্যাক্টিভ
PASSIVE_SKILL,Passive,角色被動,ติดตัว,Kỹ năng thợ săn bị động,Skill Pasif,Passiva,Pasiva,Пассивный навык,Passif,Pasif,पैसिव,الشخصية السلبية,প্যাসিভ
TALENT_BADGE,Talent Badge,天賦徽章,ตราความสามารถพิเศษ,Phù hiệu Tiềm năng,Badge Bakat,Emblema de Talento,Medallas de talentos,Значок Таланта,Badge de talent,Yetenek Rozeti,टैलेंट बैज,شارات الموهبة,ট্যালেন্ট ব্যাজ
DRAW_BADGE,Use tokens to draw badges,消耗代幣抽取徽章,ใช้โทเคนเพื่อสุ่มตรา,Sử dụng huy hiệu để nhận phù hiệu,Gunakan token untuk draw badges,Use tokens para obter emblemas,Usa tokens para conseguir medallas,"Потратить жетоны, чтобы получить значки",Utilisez des jetons pour tirer des badges,Jeton harcayarak rozet kapın,बैज ड्रॉ करने के लिए टोकन इस्तेमाल करें,استهلاك العملات لسحب الشارات,ব্যাজ ড্র করতে টোকেন ব্যবহার করুন
TOTAL_TALENTS,Total Talents,天賦總計,ความสามารถทั้งหมด,Tổng điểm tiềm năng,Total Talent,Total de Talentos,Total de talentos,Всего Талантов,Total des talents,Toplam Yetenek,कुल टैलेंट्स,المواهب الإجمالية,মোট ট্যালেন্ট
BADGE_BUFF,Talents can be stacked and will automatically take effect in battle,徽章能力可累加，戰鬥自動生效,ความสามารถทับซ้อนได้และจะมีผลอัตโนมัติในการต่อสู้,Phù hiệu có thể cộng dồn sức mạnh và tự động phát huy trong chiến đấu,Talent dapat terakumulasi dan akan otomatis aktif dalam pertempuran,Os talentos podem ser acumulados e entram em efeito automaticamente durante a batalha,Los talentos son acumulativos y se activan automáticamente en combate,"Таланты за значки можно суммировать, они автоматически вступают в силу в бою.",Les talents peuvent être cumulés et s'appliquent automatiquement au combat,"Yetenekler birikebilir, savaşta otomatik olarak etkinleşir.",टैलेंट्स स्टैक हो सकते हैं और लड़ाई में अपने आप लागू हो जाएंगे,يمكن تراكب قدرة الشارة وتفعيلها تلقائيًا في المعركة.,ট্যালেন্ট স্ট্যাক করা যেতে পারে এবং ব্যাটেলে অটোমেটিক্যালি কার্যকর হবে
STAT_SKILL_DMG,Skill Damage,技能傷害,ความเสียหายจากสกิล,Sát thương kỹ năng,Damage Skill,Dano da Habilidade,Daño de habilidad,Урон навыка,Dégâts de compétence,Yetenek Hasarı,स्किल डैमेज,ضرر المهارة,স্কিল ড্যামেজ
STAT_WEAPON_DMG,Weapon Damage,武器傷害,ความเสียหายจากอาวุธ,Sát thương vũ khí,Damage Weapon,Dano da Arma,Daño de arma,Урон оружия,Dégâts d'arme,Silah Hasarı,वेपन डैमेज,أضرار السلاح,ওয়েপন ড্যামেজ
STAT_HP,HP,生命值,HP,Máu,HP,Vida,PV,Здоровье,HP,CP,HP,الصحة,HP
STAT_SPEED,Movement Speed,移速,ความเร็วเคลื่อนที่,Tốc độ di chuyển,Kecepatan Gerak,Velocidade,Velocidad de movimiento,Скорость передвижения,Vitesse de déplacement,Hareket Hızı,मूवमेंट स्पीड,سرعة الحركة,মুভমেন্ট স্পিড
STAT_MAX,MAX,最大,สูงสุด,MAX,MAX,MÁX,MÁX,Максимум,MAX,Maksimum,मैक्स,الأقصى,ম্যাক্স
EXCLUSIVE_POOL,Character Exclusive Card Pool,角色專屬卡池,การ์ดพูลพิเศษสำหรับตัวละคร,Tập thẻ độc quyền của thợ săn,Kolam Kartu Eksklusif Karakter,Cartão Exclusivo do Personagem,Cartas exclusivas del personaje,Специальный баннер персонажа,Pile de cartes exclusive au personnage,Karaktere Özel Kart Havuzu,कैरेक्टर एक्सक्लूसिव कार्ड पूल,بطاقة الحوض الحصرية للشخصية,ক্যারেক্টার এক্সক্লুসিভ কার্ড পুল
RANDOM_DRAW,Randomly selected from the battle,局內戰鬥從中隨機抽取,เลือกแบบสุ่มจากการต่อสู้,Ngẫu nhiên rút thăm từ tập thẻ khi trong trận,Dipilih secara acak dalam pertempuran,Selecionadas aleatoriamente durante a batalha,Se seleccionan en batalla al azar,Выбор боя внутри игры происходит случайным образом.,Sélectionné au hasard pendant le combat,Savaşta rastgele seçilir,लड़ाई के दौरान रैंडम रूप से चुना जाता है,سيتم السحب عشوائياً من داخل المعركة,ব্যাটেল থেকে র‍্যান্ডমলি নির্বাচিত
WEAPON_M1887,Exclusive Weapon: M1887,專屬武器:M1887,อาวุธพิเศษ: M1887,Vũ khí riêng: M1887,Senjata Eksklusif: M1887,Arma exclusiva: M1887,Arma exclusiva: M1887,Эксклюзивное оружие: M1887,Arme exclusive: M1887,Özel Silah: M1887,एक्सक्लूसिव वेपन: M1887,السلاح الحصري: M1887,এক্সক্লুসিভ ওয়েপন: M1887
EXCLUSIVE_SKILL,Exclusive Skill,專屬技能,สกิลพิเศษ,Kỹ năng độc quyền,Skill Eksklusif,Habilidade Exclusiva,Habilidad exclusiva,Уникальное умение,Compétence exclusive,Özel Yetenek,एक्सक्लूसिव स्किल,مهارة حصرية,এক্সক্লুসিভ স্কিল
SKILL_BOMB_DESC,Blast the target area and deal damage to all enemies inside,轟炸指定範圍，對範圍內所有敵方單位造成傷害,ระเบิดพื้นที่เป้าหมายและสร้างความเสียหายต่อศัตรูทั้งหมดภายใน,Gây sát thương nổ lớn lên khu vực rộng,Menyerang target area dan memberikan damage kepada semua musuh di dalamnya,Explode a área e causa dano a todos os oponentes dentro dela,Bombardea el área e inflige daño a los enemigos de adentro,"Взорвать выбранную зону, нанеся урон всем врагам внутри нее",Explose la zone cible et inflige des dégâts à tous les ennemis qui s'y trouvent.,Hedef alanı patlatır ve içindeki tüm düşmanlara hasar verir,टारगेट एरिया में ब्लास्ट करें और अंदर मौजूद सभी दुश्मनों को डैमेज दें,"اتقصف كل الوحدات المعادية داخل نصف قطر 5 أمتار، تلحق 100 نقطة من ضرر المهارة، فترة التهدئة 10 ثوانٍ.",টার্গেট এরিয়ায় ব্লাস্ট করুন এবং ভেতরে থাকা সকল এনিমির ড্যামেজ ডিল করুন
SKILL_GRENADE_DESC,The last bullet also fires missiles that deal damage in an area,最後一顆子彈將額外發射榴彈，造成範圍傷害,กระสุนสุดท้ายจะยิงขีปนาวุธที่สร้างความเสียหายในพื้นที่,Viên đạn cuối kèm đạn đạo gây sát thương khu vực nhỏ,Peluru terakhir juga menembakkan rudal yang memberikan damage area,O último disparo também lança mísseis que causam dano em área,La última bala también lanza misiles que infligen daño de área,"Последняя пуля выпускает гранату, наносящую урон в зоне",La dernière balle tire également des missiles qui infligent des dégâts dans une zone.,"Son mermi ayrıca, bir alana hasar veren füzeler de ateşler","आख़िरी गोली मिसाइल्स भी फ़ायर करती है, जो एरिया में डैमेज देती हैं","تطلق الرصاصة الأخيرة قذيفة يدوية، تتسبب في ضرر مهارة بقيمة 20 نقطة في نصف قطر 1 متر.",লাস্ট বুলেটটি এমন মিসাইল ফায়ার করে যা একটি এরিয়া ড্যামেজ ডিল করে
WEAPON_MP5,Exclusive Weapon: MP5,專屬武器:MP5,อาวุธพิเศษ: MP5,Vũ khí riêng: MP5,Senjata Eksklusif: MP5,Arma exclusiva: MP5,Arma exclusiva: MP5,Эксклюзивное оружие: MP5,Arme exclusive: MP5,Özel Silah: MP5,एक्सक्लूसिव वेपन: MP5,السلاح الخاص: MP5,এক্সক্লুসিভ ওয়েপন: MP5
SKILL_SHOCK_DESC,Release 3 arc lightnings towards enemies,釋放3道閃電隨機打擊周圍敵人,ปล่อยสายฟ้าโค้ง 3 สายไปยังศัตรู,Phát 3 tia sét tấn công kẻ thù ngẫu nhiên,Melepaskan 3 petir ke arah musuh,Dispara 3 raios nos oponentes,Lanza 3 rayos que atacan a los enemigos,Выпускает 3 молнии в сторону врагов,Lance 3 éclairs en arc vers les ennemis.,Düşmanlara doğru 3 ark yıldırımı salar,दुश्मनों की ओर 3 आर्क लाइटनिंग रिलीज़ करें,يطلق 3 صواعق عشوائية لضرب أعداء عشوائيين.,এনিমিদের দিকে 3টি আর্ক লাইটনিং রিলিজ করুন
SKILL_CHAIN_DESC,Each bullet has a chance to trigger lightning,每發子彈有機率觸發閃電，對敵人造成傷害,แต่ละกระสุนมีโอกาสที่จะกระตุ้นสายฟ้า,Mỗi viên đạn có xác suất nhỏ giật sét kẻ địch,Setiap peluru memiliki peluang memicu petir,Cada disparo tem chance de ativar um relâmpago,Cada bala tiene una probabilidad de activar un rayo,Каждая выпущенная пуля имеет шанс вызвать молнию.,Chaque balle a une chance de déclencher un éclair.,Her merminin yıldırım tetikleme ihtimali vardır,हर गोली में लाइटनिंग ट्रिगर होने का मौका होता है,كل رصاصة لديها احتمال 5٪ لإحداث صاعقة.,প্রতিটি বুলেটে লাইটনিং ট্রিগার হওয়ার একটি চান্স রয়েছে
UI_BASIC,Basic Info,基本資訊,ข้อมูลพื้นฐาน,Thông tin cơ bản,Informasi Dasar,Informações Básicas,Información básica,Основная информация,Informations de base,Temel Bilgiler,बेसिक जानकारी,معلومات أساسية,বেসিক তথ্য
STAT_LEVEL,Level,關卡,เลเวล,Màn chơi,Level,Nível,Nivel,Уровень,Niveau,Seviye,लेवल,مرحلة,লেভেল
STAT_CLEAR_TIME,Clear Time,通關時長,เวลาที่ใช้เคลียร์เกม,Thời gian vượt ải,Waktu Penyelesaian,Tempo de conclusão,Tiempo de finalización,Время прохождения,Temps de réussite,Geçiş Süresi,क्लियर टाइम,مدة إكمال المستوى,ক্লিয়ার টাইম
STAT_BOSS_TIME,BOSS Defeat Time,BOSS擊敗時間,เวลาปราบบอส,Thời gian hạ TRÙM,Waktu Penyelesaian BOSS,Tempo para Derrotar o CHEFE,Tiempo de derrota del JEFE,Время поражения БОССа,Temps de défaite du BOSS,BOSS Yenilgi Süresi,बॉस डिफ़ीट टाइम,وقت هزيمة الزعيم,বস ডিফেট টাইম
REWARD_COINS,Token(s) acquired,獲得代幣,โทเคนที่ได้รับ,Nhận mã thông báo,Token yang telah didapatkan,Token(s) obtido(s),Token(s) adquirido(s),Получить жетоны,Jetons acquis,Jeton Kazanıldı,पाए गए टोकन,الحصول على الرموز,টোকেন অর্জিত
UI_CARDS,Current Cards,本局卡牌,การ์ดปัจจุบัน,Thẻ màn chơi này,Kartu Saat ini,Cartões atuais,Cartas actuales,Карты этого раунда,Cartes actuelles,Mevcut Kartlar,करंट कार्ड्स,بطاقات الجولة الحالية,বর্তমান কার্ড
UI_DAMAGE,Statistics,傷害統計,สถิติ,Thống kê,Statistik,Estatísticas,Estadísticas,Статистика,Statistiques,İstatistikler,स्टैटिस्टिक्स,إحصائيات الضرر,স্ট্যাটিস্টিক্স
STAT_TOTAL_DMG,Total Damage,總傷害,ความเสียหายทั้งหมด,Tổng sát thương,Damage Total,Dano Total,Daño total,Общий урон,Dégâts totaux,Toplam Hasar,कुल डैमेज,إجمالي الضرر,মোট ড্যামেজ
DMG_WEAPON,Weapon,普通武器,อาวุธ,Sát thương vũ khí,Senjata,Arma,Arma,Урон от оружия,Arme,Silah,वेपन,الهجوم الأساسي للأسلحة,ওয়েপন
DMG_SHOCK_EXPLODE,Lightning Explosion,閃電爆炸,ระเบิดสายฟ้า,Sát thương nổ điện,Ledakan Petir,Explosão Eletrizante,Explosión eléctrica,Взрыв молнии,Explosion de foudre,Yıldırım Patlaması,लाइटनिंग एक्सप्लोजन,انفجار البرق,লাইটনিং এক্সপ্লোশন
DMG_BURN,Burning Damage,燃燒傷害,ความเสียหายจากการเผาไหม้,Sát thương bỏng,Damage Bakar,Dano de Queimadura,Daño de quemadura,Горение,Dégâts de brûlure,Yanma Hasarı,बर्निंग डैमेज,احتراق,বার্নিং ড্যামেজ
VICTORY,Victory,勝利,ชัยชนะ,Chiến thắng,Menang,Vitória,Victoria,Победа,Victoire,Zafer,विक्ट्री,انتصار,বিজয়
DEFEAT,Defeat,失敗,พ่ายแพ้,Thất bại,Kalah,Derrota,Fracaso,Поражение,Défaite,Yenilgi,डिफ़ीट,فشل,পরাজয়
HEADSHOT,Headshot,爆頭,ยิงหัว,Headshot,Headshot,Acerto na cabeça,Disparo a la cabeza,Хэдшот,Tir à la tête,Kafadan vuruş,हेडशॉट,طلقة في الرأس,হেডশট
KILL_10,10 Eliminations,10殺,กำจัด 10 ครั้ง,10 mạng hạ gục,10 Kills,10 abates,10 eliminaciones,10 убийств,10 éliminations,10 Haklama,10 एलिमिनेशन,10 قتل,10টি এলিমিনেশন
LEVEL_RANK,Ranking,排名,การจัดอันดับ,Xếp hạng,Ranking,Classificação,Clasificación,Рейтинг,Classement,Sıralama,रैंकिंग,التصنيف,র‍্যাংকিং
WAVE_COUNT,Wave: {0}/{1},波數：{0}/{1},ระลอก: {0}/{1},Số đợt: {0}/{1},Jumlah gelombang: {0}/{1},Onda: {0}/{1},Oleada: {0}/{1},Волны: {0}/{1},Vague: {0}/{1},Dalga sayısı: {0}/{1},वेव: {0}/{1},عدد الموجات: {1}/{0},ওয়েভ: {0}/{1}
WAVE_CLEAR,Wave {0} complete,第{0}波完成,ระลอก {0} เสร็จสิ้น,Hoàn thành đợt thứ {0},Gelombang ke-{0} selesai,Onda {0} concluída,Oleada {0} completada,Волна {0} завершена,Vague {0} terminée,{0}. dalga tamamlandı,वेव {0} पूरी हुई,الموجة رقم {0} اكتملت,ওয়েভ {0}টি কমপ্লিট
BUTTON_TALENT,Talent,天賦,พรสวรรค์,Tiềm năng,Talent,Talento,Talento,Талант,Talent,Yetenek,टैलेंट,الموهبة,ট্যালেন্ট
BUTTON_HERO,Character,角色,ตัวละคร,Thợ săn,Karakter,Personagem,Personaje,Персонаж,Personnage,Karakter,कैरेक्टर,الشخصية,ক্যারেক্টার
BUTTON_RANK,Stage Ranking,關卡排行,การจัดอันดับแรงก์,Xếp hạng cấp độ,Ranking,Classificação do Nível,Clasificación del nivel,Рейтинг уровня,Classement de l'étape,Aşama Sıralaması,स्टेज रैंकिंग,ترتيب المراحل,স্টেজ র‍্যাংকিং
BUTTON_EXIT,Exit,離開,ออก,Thoát ra,Keluar,Sair,Salir,Выход,Quitter,Çıkış,एग्ज़िट,خروج,প্রস্থান
BUTTON_START,Start,開始,เริ่ม,Bắt đầu,Mulai,Começar,Comenzar,Начать,Commencer,Başla,स्टार्ट,ابدأ,শুরু
BUTTON_CONFIRM,Confirm,確認,ยืนยัน,Xác nhận,Konfirmasi,Confirmar,Confirmar,Подтвердить,Confirmer,Onayla,कन्फ़र्म,تأكيد,নিশ্চিত করুন
BUTTON_REFRESH,Refresh,刷新,รีเฟรช,Làm mới,Refresh,Atualizar,Actualizar,Обновить,Rafraîchir,Yenile,रिफ़्रेश,تحديث,রিফ্রেশ করুন
BUTTON_DRAW,Draw,抽取,สุ่ม,Rút phù hiệu,Draw,Obter,Conseguir,Извлечение значка,Dessiner,Çek,ड्रॉ,سحب الشارة,ড্র
BUTTON_TALENT_ALT,Talent,天賦,พรสวรรค์,Tiềm năng,Talent,Talento,Talento,Талант,Talent,Yetenek,टैलेंट,موهبة,ট্যালেন্ট
BUTTON_HERO_INFO,Character Information,角色資訊,ข้อมูลตัวละคร,Thông tin thợ săn,Informasi Karakter,Informações do Personagem,Información del personaje,Информация о персонаже,Informations sur le personnage,Karakter Bilgisi,कैरेक्टर जानकारी,معلومات الشخصية,ক্যারেক্টার তথ্য
BUTTON_AGAIN,Play Again,再來一局,เล่นอีกครั้ง,Thêm ván nữa,Main Lagi,Jogar de novo,Jugar de nuevo,Сыграть ещё раз,Jouer à nouveau,Tekrar Oyna,दोबारा खेलें,العب مرة أخرى,আবার খেলুন
BUTTON_BACK,Home,返回主頁,หน้าแรก,Về trang chủ,Beranda,Página inicial,Inicio,На главную,Accueil,Ana Sayfa,होम,العودة إلى الصفحة الرئيسية,হোম
CONGRATULATIONS,Congratulations,恭喜,ยินดีด้วย,Chúc mừng,Selamat,Parabéns,¡Felicidades!,Поздравляем,Félicitations,Tebrikler,बधाई हो,تهانينا,অভিনন্দন
GIFT_SKILL_DAMAGE_I,Skill Damage I,技能傷害 I,ความเสียหายจากทักษะ I,Sát thương kỹ năng I,Damage Skill I,Dano da Habilidade I,Daño de habilidad I,Урон от навыка I,Dégâts de compétence I,Yetenek Hasarı I,स्किल डैमेज I,ضرر المهارة I,স্কিল ড্যামেজ I
GIFT_SKILL_DAMAGE_II,Skill Damage II,技能傷害 II,ความเสียหายจากทักษะ II,Sát thương kỹ năng II,Damage Skill II,Dano da Habilidade II,Daño de habilidad II,Урон от навыка II,Dégâts de compétence II,Beceri Hasarı II,स्किल डैमेज II,ضرر المهارة II,স্কিল ড্যামেজ II
GIFT_SKILL_DAMAGE_III,Skill Damage III,技能傷害 III,ความเสียหายจากทักษะ III,Sát thương kỹ năng III,Damage Skill III,Dano da Habilidade III,Daño de habilidad III,Урон от навыка III,Dégâts de compétence III,Yetenek Hasarı III,स्किल डैमेज III,ضرر المهارة III,স্কিল ড্যামেজ III
GIFT_WEAPON_DAMAGE_I,Weapon Damage I,武器傷害 I,ความเสียหายจากอาวุธ I,Sát thương vũ khí I,Damage Senjata I,Dano da Arma I,Daño de arma I,Урон от оружия I,Dégâts d'arme I,Silah Hasarı I,वेपन डैमेज I,أضرار السلاح I,ওয়েপন ড্যামেজ I
GIFT_WEAPON_DAMAGE_II,Weapon Damage II,武器傷害 II,ความเสียหายจากอาวุธ II,Sát thương vũ khí II,Damage Senjata II,Dano da Arma II,Daño de arma II,Урон от оружия II,Dégâts d'arme II,Silah Hasarı II,वेपन डैमेज II,أضرار السلاح II,ওয়েপন ড্যামেজ II
GIFT_WEAPON_DAMAGE_III,Weapon Damage III,武器傷害 III,ความเสียหายจากอาวุธ III,Sát thương vũ khí III,Damage Senjata III,Dano da Arma III,Daño de arma III,Урон от оружия III,Dégâts d'arme III,Silah Hasarı III,वेपन डैमेज III,ضرر السلاح III,ওয়েপন ড্যামেজ III
GIFT_HP_I,HP I,血量 I,พลังชีวิต I,Máu I,HP I,Vida I,PV I,Здоровье I,HP I,CP I,HP I,الحياة I,HP I
GIFT_HP_II,HP II,生命值 II,พลังชีวิต II,Máu II,HP II,Vida II,PV II,Здоровье II,HP II,CP II,HP II,الصحة II,HP II
GIFT_MOVESPEED_I,Movement Speed I,移速 I,ความเร็วเคลื่อนที่ I,Tốc độ di chuyển I,Kecepatan Gerak I,Velocidade I,Velocidad de movimiento I,Скорость перемещения I,Vitesse de déplacement I,Hareket Hızı I,मूवमेंट स्पीड I,سرعة الحركة I,মুভমেন্ট স্পিড I
GIFT_MOVESPEED_II,Movement Speed II,移速 II,ความเร็วเคลื่อนที่ II,Tốc độ di chuyển II,Kecepatan Gerak II,Velocidade II,Velocidad de movimiento II,Скорость передвижения II,Vitesse de déplacement II,Hareket Hızı II,मूवमेंट स्पीड II,سرعة الحركة II,মুভমেন্ট স্পিড II
GIFT_SKILL_DAMAGE_ADD,Skill Damage +{0}%,技能傷害+{0}%,ความเสียหายจากทักษะ +{0}%,Sát thương kỹ năng +{0}%,Damage Skill +{0}%,Dano da habilidade +{0}%,Daño de habilidad +{0}%,Урон навыков +{0}%,Dégâts de compétence +{0}%,Yetenek hasarı +%{0},स्किल डैमेज +{0}%,زيادة ضرر المهارة +{0}%,স্কিল ড্যামেজ +{0}%
GIFT_WEAPON_DAMAGE_ADD,Weapon Damage +{0}%,武器傷害+{0}%,ความเสียหายจากอาวุธ +{0}%,Sát thương vũ khí +{0}%,Damage Senjata +{0}%,Dano da arma +{0}%,Daño de arma +{0}%,Урон оружия +{0}%,Dégâts de l'arme +{0}%,Silah Hasarı +%{0},वेपन डैमेज +{0}%,ضرر السلاح +{0}%,ওয়েপন ড্যামেজ +{0}%
GIFT_HP_ADD,Health +{0},生命值+{0},พลังชีวิต +{0},Máu +{0},HP+{0},Vida +{0},Salud +{0},Здоровье+{0},Santé +{0},CP+%{0},हेल्थ +{0},الدم+{0},হেলথ +{0}
GIFT_MOVESPEED_ADD,Movement Speed +{0},移速+{0},ความเร็วเคลื่อนที่ +{0},Tốc độ di chuyển +{0},Kecepatan gerak+{0},Velocidade +{0},Velocidad de movimiento +{0},Скорость передвижения +{0},Vitesse de déplacement +{0},Hareket Hızı +{0},मूवमेंट स्पीड +{0},سرعة الحركة +{0},মুভমেন্ট স্পিড +{0}
Electric_movespeed,Movement Speed +{0}%,移動速度+{0}%,ความเร็วเคลื่อนที่ +{0}%,Tốc độ di chuyển +{0}%,Kecepatan gerak +{0}%,Velocidade +{0}%,Velocidad de movimiento +{0}%,Скорость передвижения +{0}%,Vitesse de déplacement +{0}%,Hareket Hızı+%{0},मूवमेंट स्पीड +{0}%,سرعة الحركة +{0}%,মুভমেন্ট স্পিড +{0}%
Electric_WeaponDamage,Weapon Damage +{0}%,武器傷害+{0}%,ความเสียหายอาวุธ +{0}%,Sát thương vũ khí +{0}%,Damage Senjata +{0}%,Dano da arma +{0}%,Daño de arma +{0}%,Урон от оружия +{0}%,Dégâts de l'arme +{0}%,Silah Hasarı +%{0},वेपन डैमेज +{0}%,ضرر السلاح +{0}%,ওয়েপন ড্যামেজ +{0}%
